Participants;Delays;Lag Speed
Participant #1;0;0
Participant #1;80;12,5
Participant #1;1800;0,56
Participant #2;1800;0,56
Participant #2;1000;1
Participant #2;1400;0,71
Participant #3;1200;0,83
Participant #3;1400;0,71
Participant #3;1200;0,83
Participant #4;1200;0,83
Participant #4;0;0
Participant #4;320;3,13
Participant #5;1400;0,71
Participant #5;1800;0,56
Participant #5;800;1,25
Participant #6;0;0
Participant #6;320;3,13
Participant #6;1600;0,63
Participant #7;1600;0,63
Participant #7;800;1,25
Participant #7;1000;1
Participant #8;160;6,25
Participant #8;400;2,5
Participant #8;400;2,5
Participant #9;80;12,5
Participant #9;1000;1
Participant #9;400;2,5
Participant #10;600;1,67
Participant #10;320;3,13
Participant #10;600;1,67
Participant #11;160;6,25
Participant #11;160;6,25
Participant #11;1000;1
Participant #12;160;6,25
Participant #12;0;0
Participant #12;800;1,25
Participant #13;1800;0,56
Participant #13;320;3,13
Participant #13;1400;0,71
Participant #14;400;2,5
Participant #14;80;12,5
Participant #14;600;1,67
Participant #15;1600;0,63
Participant #15;1200;0,83
Participant #15;1600;0,63
Participant #16;80;12,5
Participant #16;800;1,25
Participant #16;600;1,67
