Participant,Run,Velocity(m/s),Delay(ms),Time(s),Maze Score,Mental Demand,Physical Demand,Temporal Demand,Performance,Effort,Frustration,Overall Score
1,1,5.0,0,23.28,57.89,24,42,65,50,70,90,56.833333333333336
1,2,3.6,0,101.42,60.53,50,40,20,33,44,98,47.5
1,3,6.0,2000,63.35,43.86,50,60,40,90,80,60,63.333333333333336
2,1,6.0,0,38.96,39.1,40,40,20,30,50,75,42.5
2,2,2.2,250,114.97,65.61,20,0,0,80,10,0,18.33333333333333
2,3,6.0,250,87.62,91.3,10,5,30,80,15,0,23.33333333333333
3,1,5.0,2000,59.03,27.63,10,5,30,75,20,25,27.5
3,2,5.0,250,56.62,15.13,10,5,30,90,15,10,26.666666666666668
3,3,3.6,500,43.45,15.13,50,0,10,50,10,10,21.666666666666668
4,1,3.6,250,38.44,25.26,50,0,20,20,10,20,20.0
4,2,3.6,1000,64.27,32.89,50,0,30,40,20,10,25.0
4,3,5.0,1000,76.07,32.89,35,0,5,60,80,5,30.83333333333333
5,1,2.2,2000,20.54,32.89,30,0,5,70,80,0,30.83333333333333
5,2,6.0,1000,30.45,32.89,50,0,30,50,30,10,28.33333333333333
5,3,2.2,1000,21.04,32.89,40,0,20,60,20,0,23.33333333333333
6,1,3.6,2000,84.95,32.89,30,0,20,70,30,0,25.0
6,2,6.0,500,105.38,40.94,30,0,20,60,35,0,25.83333333333333
6,3,2.2,0,32.54,40.94,40,0,50,80,70,40,46.66666666666666
7,1,2.2,500,117.11,0.0,70,0,50,70,70,30,48.333333333333336
7,2,5.0,500,71.38,30.26,90,0,70,40,70,40,51.66666666666666
7,3,5.0,250,108.63,48.87,65,0,75,75,60,15,48.333333333333336
8,1,5.0,0,117.77,57.31,60,0,60,80,50,10,43.333333333333336
8,2,6.0,0,45.55,61.05,80,0,65,50,60,25,46.6666666666666
8,3,2.2,500,42.67,52.63,30,0,20,70,30,0,25.0
