Participant,Maze score
1,47.72%
2,45.34%
3,58.30%
4,35.89%
5,51.82%
6,38.87%
7,43.06%
8,43.06%
9,45.34%
10,45.34%
11,65.61%
12,58.30%
13,35.89%
14,35.89%
15,39.01%
16,64.78%
17,71.26%
18,89.16%
19,35.89%
20,50.24%
21,51.82%
22,57.42%
23,45.34%
24,47.72%
25,47.72%
26,57.42%
27,43.06%
28,57.42%
29,35.89%
30,35.89%
31,71.58%
32,78.02%
33,78.02%
34,35.89%
35,43.06%
36,35.89%
37,35.89%
38,50.24%
39,83.51%
40,90.23%
41,90.23%
42,100.00%
43,71.58%
44,65.61%
45,71.58%
46,43.06%
47,65.61%
48,51.82%
49,50.24,8.08,11,4,12
