name,age,gender,profession,gaming experience,Participant Number,Mental Demand,Physical Demand,Temporal Demand,Performance,Effort,Frustration,Overall Score,Delays,Time Scores,Maze score
1,25,female,student,no,1,10,0,10,70,10,0,16.666666666666668,400,85.752,38.18%
1,25,female,student,no,2,10,0,10,70,10,5,17.5,1400,111.70699999999998,13.6%
1,25,female,student,no,3,10,0,30,70,10,0,20.0,800,114.78599999999999,34.98%
2,21,male,student,yes,4,65,0,10,80,80,80,52.5,1600,106.884,7.18%
2,21,male,student,yes,5,25,0,0,40,65,10,23.33333333333333,160,100.7532,47.67%
2,21,male,student,yes,6,35,0,5,35,40,15,21.666666666666668,1800,136.553,3.89%
3,30,male,student,no,7,40,0,10,30,35,35,25.0,1000,90.06,21.53%
3,30,male,student,no,8,10,0,10,5,10,5,6.666666666666667,600,83.14800000000001,30.14%
3,30,male,student,no,9,5,0,5,1,5,3,3.1666666666666665,0,89.11,45.34%
4,27,male,software engineer,yes,10,74,0,80,30,80,85,58.16666666666666,1800,150.0,4.53%
4,27,male,software engineer,yes,11,60,0,60,25,60,70,45.833333333333336,1400,130.713,19.68%
4,27,male,software engineer,yes,12,60,0,50,20,50,40,36.66666666666666,600,75.413,40.81%
5,26,male,phd researcher,yes,13,15,0,30,55,20,20,23.33333333333333,600,109.551,25.12%
5,26,male,phd researcher,yes,14,20,0,0,40,10,0,11.666666666666666,1000,91.26,17.94%
5,26,male,phd researcher,yes,15,20,0,0,20,10,0,8.333333333333334,160,64.152,35.89%
6,27,male,engineer,yes,16,10,5,30,20,15,0,13.333333333333334,800,88.438,38.87%
6,27,male,engineer,yes,17,10,5,30,25,20,25,19.166666666666668,1400,118.28599999999999,21.38%
6,27,male,engineer,yes,18,10,5,30,10,15,10,13.333333333333334,1600,110.50200000000001,17.83%
7,35,female,phd student,no,19,50,0,10,50,10,10,21.666666666666668,320,97.47479999999999,30.15%
7,35,female,phd student,no,20,50,0,20,80,10,20,30.0,1800,150.0,5.02%
7,35,female,phd student,no,21,50,0,30,60,20,10,28.33333333333333,0,67.38,51.82%
8,28,male,phd candidate,yes,22,35,0,5,40,80,5,27.5,400,77.14800000000001,45.94%
8,28,male,phd candidate,yes,23,30,0,5,30,80,0,24.166666666666668,800,86.044,27.2%
8,28,male,phd candidate,yes,24,50,0,30,50,30,10,28.33333333333333,1200,112.656,19.09%
9,26,male,phd student,yes,25,40,0,20,40,20,0,20.0,1600,150.0,9.54%
9,26,male,phd student,yes,26,30,0,20,30,30,0,18.33333333333333,320,69.8668,48.23%
9,26,male,phd student,yes,27,30,0,20,40,35,0,20.83333333333333,80,63.0864,41.34%
10,21,female,phd student,no,28,40,0,50,20,70,40,36.66666666666666,600,150.0,40.19%
10,21,female,phd student,no,29,70,0,50,30,70,30,41.66666666666666,160,137.27880000000002,33.02%
10,21,female,phd student,no,30,90,0,70,60,70,40,55.0,1400,150.0,10.77%
11,30,male,phd student,yes,31,65,0,75,25,60,15,40.0,320,66.7464,60.13%
11,30,male,phd student,yes,32,60,0,60,20,50,10,33.333333333333336,80,59.4672,74.9%
11,30,male,phd student,yes,33,80,0,65,50,60,25,46.66666666666666,1200,115.984,31.21%
12,24,male,master student,yes,34,80,0,50,40,80,40,48.333333333333336,0,72.53,35.89%
12,24,male,master student,yes,35,80,0,60,30,60,30,43.333333333333336,400,91.52399999999999,34.45%
12,24,male,master student,yes,36,80,0,60,30,40,40,41.66666666666666,80,76.5648,34.45%
13,25,male,student master,yes,37,10,0,5,10,60,60,24.166666666666668,1200,119.408,14.36%
13,25,male,student master,yes,38,20,0,10,15,65,80,31.666666666666668,1800,146.471,5.02%
13,25,male,student master,yes,39,40,0,5,10,80,40,29.166666666666668,1000,92.625,41.76%
14,24,male,student master,yes,40,40,0,20,10,30,0,16.666666666666668,0,59.68,90.23%
14,24,male,student master,yes,41,40,0,40,10,20,0,18.33333333333333,320,73.776,75.79%
14,24,male,student master,yes,42,10,0,10,0,0,0,3.333333333333333,1000,88.635,50.0%
15,23,male,bachelor student,yes,43,50,0,0,20,50,20,23.33333333333333,80,59.071999999999996,68.72%
15,23,male,bachelor student,yes,44,60,0,0,35,50,30,29.166666666666668,400,74.37599999999999,52.49%
15,23,male,bachelor student,yes,45,40,0,0,15,50,15,20.0,160,61.722,65.85%
16,21,male,bachelor student,yes,46,30,0,0,30,50,60,28.33333333333333,800,87.91999999999999,25.84%
16,21,male,bachelor student,yes,47,40,0,40,20,60,10,28.33333333333333,1200,93.36000000000001,26.24%
16,21,male,bachelor student,yes,48,60,0,70,50,60,60,50.0,1600,114.01200000000001,10.36%
