Count,Mean,Std,Min,25%,50%,75%,Max
48.0,40.395833333333336,23.755617103574284,5.0,20.0,40.0,60.0,90.0
48.0,0.3125,1.2231151369752042,0.0,0.0,0.0,0.0,5.0
48.0,27.083333333333332,24.27312087810549,0.0,5.0,20.0,50.0,80.0
48.0,66.75,20.399728825898954,20.0,57.5,70.0,80.0,100.0
48.0,41.5625,25.45660157660066,0.0,18.75,45.0,60.0,80.0
48.0,22.979166666666668,24.326230990114297,0.0,2.25,15.0,40.0,85.0
48.0,33.21527777777778,12.93363485488498,10.0,23.33333333333333,31.25,44.166666666666664,64.83333333333333
48.0,780.0,597.4128619803682,0.0,280.0,700.0,1250.0,1800.0
48.0,76.193125,29.745447794489177,56.8,60.552499999999995,65.0,76.94,217.03
48.0,55.04770833333333,17.401313014727503,35.89,43.06,50.24,65.61,100.0
